Week,Activity Week Label,Activity Desc,Activity Name,Activity Type,Activity Type Name,Location Name,Start Date Time,End Date Time,Day,Staff
36,,MA34920 LECTURE 1,MA34920/L/1/01,Lecture,LECTURE,EL-1.16,01/05/2025 @ 11:00:00,01/05/2025 @ 12:00:00,Thursday,"Cox, Simon"
36,,,"MA21410/L/2/01, MT21410/L/2/01",Lecture,LECTURE,MP-0.11,01/05/2025 @ 11:00:00,01/05/2025 @ 12:00:00,Thursday,"Douglas, Robert"
36,,MT25220 TUTORIAL 1,MT25220/T/1/01,Tutorial,TUTORIAL,MP-3.02,01/05/2025 @ 12:00:00,01/05/2025 @ 13:00:00,Thursday,"Davies, Tudur"
36,,MA03610 LECTURE 2,MA03610/L/2/01,Lecture,LECTURE,MP-3.02,01/05/2025 @ 13:00:00,01/05/2025 @ 14:00:00,Thursday,"Peck, Daniel"
36,,MT21510 TUTORIAL 1,MT21510/T/1/01,Tutorial,TUTORIAL,MP-3.05,01/05/2025 @ 13:00:00,01/05/2025 @ 14:00:00,Thursday,"Davies, Tudur"
36,,,"MA11210/L/2/01, MT11210/L/2/01",Lecture,LECTURE,MP-0.11,01/05/2025 @ 13:00:00,01/05/2025 @ 14:00:00,Thursday,"Vellender, Adam"
36,,MA26620 PRACTICAL 2,MA26620/P/2/01,Practical,PRACTICAL,MP-3.03,01/05/2025 @ 14:00:00,01/05/2025 @ 16:00:00,Thursday,"Kenobi, Kim;<br>Jones, Patience;<br>Vellender, Adam"
36,,MA37410 LECTURE 2,MA37410/L/2/01,Lecture,LECTURE,LL-G3,01/05/2025 @ 14:00:00,01/05/2025 @ 15:00:00,Thursday,"Gohm, Rolf"
36,,,"MP11010/L/1/01, MT11010/L/1/01",Lecture,LECTURE,MP-0.15,01/05/2025 @ 14:00:00,01/05/2025 @ 15:00:00,Thursday,"Pitchford, Alexander"
36,,MA36010 LECTURE 2,MA36010/L/2/01,Lecture,LECTURE,LL-C63,01/05/2025 @ 15:00:00,01/05/2025 @ 16:00:00,Thursday,"Kiukas, Jukka"
36,,,"MA11310/L/2/01, MT11310/L/2/01",Lecture,LECTURE,EL-0.01,01/05/2025 @ 17:00:00,01/05/2025 @ 18:00:00,Thursday,"Kiukas, Jukka"
36,,,"MA37010/L/1/01, MAM7020/L/1/01",Lecture,LECTURE,EL-0.26,01/05/2025 @ 17:00:00,01/05/2025 @ 18:00:00,Thursday,"Douglas, Robert"
36,,MA25710 LECTURE 1,MA25710/L/1/01,Lecture,LECTURE,EL-1.16,02/05/2025 @ 11:00:00,02/05/2025 @ 12:00:00,Friday,"Mughal, Adil"
36,,,"MA11110/L/1/01, MT11110/L/1/01",Lecture,LECTURE,EL-0.26,02/05/2025 @ 11:00:00,02/05/2025 @ 12:00:00,Friday,"Douglas, Robert"
36,,,"MA32410/L/1/01, MT32410/L/1/01",Lecture,LECTURE,LL-C64,02/05/2025 @ 11:00:00,02/05/2025 @ 12:00:00,Friday,"Evans, Gwion"
36,,MAM5220 PRACTICAL 2,MAM5220/P/2/01,Practical,PRACTICAL,MP-3.03,02/05/2025 @ 13:00:00,02/05/2025 @ 15:00:00,Friday,"Kenobi, Kim"
36,,MAM7020 LECTURE 3,MAM7020/L/3/01,Lecture,LECTURE,LL-C40,02/05/2025 @ 13:00:00,02/05/2025 @ 14:00:00,Friday,"Douglas, Robert"
36,,,"MA21410/L/3/01, MT21410/L/3/01",Lecture,LECTURE,LL-A6,02/05/2025 @ 14:00:00,02/05/2025 @ 15:00:00,Friday,"Douglas, Robert"
36,,MA00910 LECTURE 1,MA00910/L/1/01,Lecture,LECTURE,LL-C64,02/05/2025 @ 15:00:00,02/05/2025 @ 16:00:00,Friday,"Pitchford, Alexander"
36,,MA36010 LECTURE 1,MA36010/L/1/01,Lecture,LECTURE,MP-3.02,02/05/2025 @ 16:00:00,02/05/2025 @ 17:00:00,Friday,"Kiukas, Jukka"
36,,,"MA10720/P/2/01, MT10720/P/2/01",Practical,PRACTICAL,MP-2.00,02/05/2025 @ 16:00:00,02/05/2025 @ 18:00:00,Friday,"Cox, Simon"
36,,,"MA34210/L/2/01, MT34210/L/2/01",Lecture,LECTURE,MP-0.10,02/05/2025 @ 17:00:00,02/05/2025 @ 18:00:00,Friday,"Vellender, Adam"
